id,question_text,question_type,difficulty,subject_id,skill_id,subskill_id,is_active,created_at
0011c7db-20a8-441e-bdce-82caf0b52da5,What is a process in an operating system?,mcq,easy,00000000-0000-0000-0000-000000000011,00000000-0000-0000-0000-000000000056,00000000-0000-0000-0000-000000000056,True,2026-04-09 04:05:07.823611+00
016ba8bf-bd81-4a60-9fd3-79e2c73bbf79,Why can skipping the requirements phase create expensive problems later?,descriptive,medium,00000000-0000-0000-0000-000000000013,00000000-0000-0000-0000-000000000066,00000000-0000-0000-0000-000000000066,True,2026-04-09 04:02:36.887894+00
02217c96-bc35-48ba-afef-d81c6c37117e,How should Artificial Intelligence decisions usually be validated before rollout?,descriptive,hard,,,,True,2026-04-14 16:12:53.974702+00
027df643-008a-42bc-83f8-432db10f7de4,Which signal most strongly indicates that Social Science work is incomplete?,descriptive,easy,,,,True,2026-04-16 14:25:21.98877+00
02a385d6-f334-4833-a01b-e6bc2ab15c7f,A recruiter wants to quickly estimate how many modules a candidate can complete if progress increases by a fixed amount each week. Why is linear thinking useful here?,descriptive,medium,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,True,2026-04-09 04:01:01.12308+00
02bc9143-72df-4dd8-abcd-9ac33e9ac12e,Why are headings and paragraphs important in HTML?,descriptive,easy,00000000-0000-0000-0000-000000000014,00000000-0000-0000-0000-000000000071,00000000-0000-0000-0000-000000000071,True,2026-04-09 04:05:53.565363+00
036d86e9-ee2a-455d-8834-fd4e466944cc,A train travels 180 km in 3 hours. What is its average speed?,mcq,medium,00000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000028,00000000-0000-0000-0000-000000000028,True,2026-04-09 04:03:39.936487+00
03e2be37-ed01-49b3-aa13-204860d31efa,"In a large codebase, why might abstraction improve team productivity?",descriptive,medium,00000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000040,00000000-0000-0000-0000-000000000040,True,2026-04-09 04:04:13.843887+00
041d1633-bb6e-4f46-b10e-f5b310eccb62,Why can choosing the wrong chart type lead to poor decisions even if the data itself is correct?,descriptive,medium,00000000-0000-0000-0000-000000000019,00000000-0000-0000-0000-000000000095,00000000-0000-0000-0000-000000000095,True,2026-04-09 04:02:45.993642+00
04d2b465-5229-472c-9d50-e5a37c1a2d5d,"In a right triangle, if opposite = 3 and hypotenuse = 5, what is sin(theta)?",mcq,easy,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000008,True,2026-04-09 04:00:49.633169+00
05921de7-b2b6-4a45-a48e-5e583c5462f8,What is the best first step when using Cloud Computing on a new problem?,descriptive,easy,,,,True,2026-04-14 16:13:42.189275+00
05ad1cb0-0b30-4cb4-91c4-6af486f7b1a2,What best describes strong Data Structures - Linked Lists practice in a production setting?,descriptive,medium,,00000000-0000-0000-0000-000000000042,,True,2026-04-14 16:09:18.707799+00
