question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
387,14,Web Development,71,"Web Development - HTML Structure",71,"Page Layout with HTML Elements","3|4|8",medium,Situational,"A candidate makes visually attractive pages but uses poor semantic structure. Why is that still a professional concern?","","","","",,"It is a professional concern because real-world frontend work also depends on accessibility, maintainability, search friendliness, and clear structure, not just appearance.","The response should connect semantics to professional quality standards.","semantic quality|frontend professionalism|beyond visuals","evaluation judgment|professional standards","rubric","web-development|html|situational|medium"
388,15,Cloud Computing,77,"Cloud Computing - Deployment Awareness",77,"Public Private Hybrid Basics","2|4|9|10",easy,Situational,"A team wants full control over sensitive infrastructure while still using cloud ideas internally. Which deployment model should your app introduce first?","","","","",,"The app should introduce private cloud, because it offers cloud-style resource management while keeping infrastructure dedicated to one organization for greater control.","The response should connect sensitivity and control to deployment choice.","private cloud|control|sensitive infrastructure","decision-making|architectural reasoning","rubric","cloud-computing|private-cloud|situational|easy"
389,16,Cyber Security,80,"Cyber Security - Authentication and Access",80,"Identity and Permission Basics","9|10|11",easy,Subjective,"What is the difference between authentication and authorization in one clear explanation?","","","","",,"Authentication verifies who a user is, while authorization determines what that user is allowed to access or do.","The answer should clearly separate identity verification from permissions.","authentication vs authorization|identity|permissions","clarity|concept precision","rubric","cyber-security|auth-vs-authz|easy|subjective"
390,17,Machine Learning,86,"Machine Learning - Model Evaluation",86,"Accuracy and Error Awareness","5|6|7|16",medium,MCQ,"Which of the following best describes overfitting?",A model that learns useful patterns and generalizes well,A model that memorizes training data too closely and performs poorly on new data,A model that uses no features,A model that never trains,B,"Overfitting happens when a model memorizes training patterns too closely and fails to generalize.","This is why evaluation on unseen data matters.","overfitting|generalization failure|training data memorization","critical assessment|accuracy","exact_match","machine-learning|overfitting|medium|mcq"
391,18,Artificial Intelligence,88,"Artificial Intelligence - Intelligent Agents",88,"Perception and Action Basics","6|7|16",medium,MCQ,"Which description best fits an intelligent agent?",A static file on disk,A system that perceives conditions and chooses actions toward goals,A compiler setting,A network cable configuration,B,"An intelligent agent perceives conditions and chooses actions toward goals.","This captures the perception-action-goal loop in AI.","intelligent agent|goal-directed behavior|perception and action","AI thinking|accuracy","exact_match","artificial-intelligence|agents|medium|mcq"
392,19,Data Analytics,95,"Data Analytics - Visualization",95,"Chart Selection and Clarity Basics","5|13|14",medium,Subjective,"Why can choosing the wrong chart type lead to poor decisions even if the data itself is correct?","","","","",,"The wrong chart type can hide patterns, exaggerate differences, or make comparisons difficult, leading people to misunderstand the data and make poor decisions.","The answer should mention misinterpretation caused by presentation choice.","chart selection|misleading visuals|decision quality","communication judgment|analytical clarity","rubric","data-analytics|visualization|medium|subjective"
393,20,DevOps,100,"DevOps - Collaboration and Delivery Culture",100,"Shared Responsibility and Fast Feedback","2|4|9|10",medium,Situational,"A development team throws completed code to operations with little communication, and releases keep failing. What DevOps lesson should your app emphasize?","","","","",,"The app should emphasize shared responsibility, fast feedback, and collaboration between development and operations, because delivery quality depends on teamwork across the full lifecycle.","The response should connect siloed work to release failure and DevOps culture.","shared responsibility|team collaboration|release quality","collaboration thinking|operational maturity","rubric","devops|culture|situational|medium"
394,6,Programming Fundamentals,33,"Programming - Functions and Scope",33,"Function Design and Scope Rules","1|2|4|8",easy,Situational,"A learner writes one very long program with no functions and struggles to debug it. What design improvement should the app suggest first?","","","","",,"The app should suggest breaking the program into smaller functions, because modular code is easier to read, test, debug, and reuse.","The response should connect debugging difficulty to lack of modular structure.","modular code|functions for debugging|code organization","coaching mindset|maintainability awareness","rubric","programming|functions|situational|easy"
395,7,Object-Oriented Programming,39,"OOP - Polymorphism",39,"Method Overriding and Dynamic Dispatch","1|2|4|12",hard,MCQ,"When two child classes implement the same method differently and are used through a common base type, which OOP concept is being demonstrated?",Inheritance only,Polymorphism,Encapsulation,Compilation,B,"This demonstrates polymorphism.","The same interface leads to different runtime behavior depending on the object.","polymorphism|common interface|different behavior","abstraction|accuracy","exact_match","oop|polymorphism|hard|mcq"
396,8,Data Structures,43,"Data Structures - Stacks",43,"Stack Operations and Applications","1|2|4|9",medium,MCQ,"Which stack operation returns the top element without removing it in many common implementations?",push,enqueue,peek,append,C,"Peek returns the top element without removing it.","This is a standard non-destructive stack inspection operation.","stack peek|top element access|non-destructive read","precision|data structure knowledge","exact_match","data-structures|stack|medium|mcq"
