question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
291,17,Machine Learning,86,"Machine Learning - Model Evaluation",86,"Accuracy and Error Awareness","5|6|7|16",hard,Situational,"A hiring support model performs well overall but often fails on one important user group. Why is simple accuracy not enough as the only metric to trust?","","","","",,"Simple accuracy is not enough because average performance can hide weak performance on important subgroups. Evaluation should consider error patterns, fairness, subgroup behavior, and business impact rather than one summary number alone.","The answer should explain that aggregate metrics can hide uneven performance.","accuracy limitation|subgroup performance|fairness awareness|evaluation depth","critical thinking|responsibility","rubric","machine-learning|evaluation|hard|situational"
292,17,Machine Learning,87,"Machine Learning - Features and Data",87,"Feature Representation Basics","5|6|7|16",hard,Situational,"Your platform wants to infer hidden skills from user answers. Why should feature design matter before choosing a complex model?","","","","",,"Feature design matters because the model can only learn from the information represented in the inputs. If answers are poorly encoded or meaningful traits are not captured, even a complex model may fail to infer useful hidden skills.","The answer should connect representation quality to inference quality.","hidden skill inference|feature design|representation quality","system thinking|design judgment","rubric","machine-learning|features|hard|situational"
293,17,Machine Learning,85,"Machine Learning - Unsupervised Learning",85,"Pattern Discovery Basics","5|6|7|16",hard,Situational,"A team expects clustering to automatically produce meaningful business categories every time. How should the app challenge this expectation?","","","","",,"The app should explain that clusters are pattern-based groupings, not guaranteed business truths. Their usefulness depends on data quality, feature choice, and whether the discovered structure aligns with real decision needs.","The answer should challenge blind trust in unsupervised outputs.","clustering limits|pattern vs business meaning|interpretation caution","critical thinking|analytical judgment","rubric","machine-learning|unsupervised|hard|situational"
294,18,Artificial Intelligence,88,"Artificial Intelligence - Intelligent Agents",88,"Perception and Action Basics","6|7|16",easy,MCQ,"In AI, an intelligent agent mainly does what?",Only stores files,Perceives its environment and takes actions,Compiles HTML,Acts without any goal,B,"An intelligent agent perceives its environment and takes actions.","Agents sense and act to achieve goals.","intelligent agent|perception|action","concept recall|accuracy","exact_match","artificial-intelligence|agents|easy|mcq"
295,18,Artificial Intelligence,89,"Artificial Intelligence - Search and Problem Solving",89,"State Space Search Basics","1|6|16",easy,MCQ,"AI search problems usually involve:",Finding a path or sequence of actions to reach a goal,Only designing databases,Only sorting files,Only drawing charts,A,"Search problems involve finding a path or action sequence to a goal.","This is central to problem-solving in AI.","AI search|goal state|action sequence","structured reasoning|accuracy","exact_match","artificial-intelligence|search|easy|mcq"
296,18,Artificial Intelligence,90,"Artificial Intelligence - Knowledge and Reasoning",90,"Facts Rules and Inference Basics","6|16",easy,MCQ,"What does reasoning in AI mainly involve?",Guessing randomly,Drawing conclusions from information,Only collecting data,Only compressing images,B,"Reasoning involves drawing conclusions from available information.","It uses facts, rules, and inference.","AI reasoning|inference|knowledge use","analytical thinking|accuracy","exact_match","artificial-intelligence|reasoning|easy|mcq"
297,18,Artificial Intelligence,91,"Artificial Intelligence - Planning and Decision Making",91,"Goal-Based Action Sequencing","6|16",easy,Subjective,"What is planning in AI in simple terms?","","","","",,"Planning in AI is deciding a sequence of actions to achieve a goal from a given starting state.","The answer should mention goal-directed action sequencing.","AI planning|goal sequence|decision making","clarity|foundational understanding","rubric","artificial-intelligence|planning|easy|subjective"
298,18,Artificial Intelligence,88,"Artificial Intelligence - Intelligent Agents",88,"Perception and Action Basics","6|7|16",easy,Subjective,"Why is the idea of an environment important for an AI agent?","","","","",,"The environment is important because the agent observes it, interprets it, and takes actions based on what is happening around it.","The answer should connect the agent’s decisions to its environment.","environment|agent interaction|perception context","clarity|concept mapping","rubric","artificial-intelligence|agents|easy|subjective"
299,18,Artificial Intelligence,89,"Artificial Intelligence - Search and Problem Solving",89,"State Space Search Basics","1|6|16",easy,Situational,"A learner wants to understand how an AI chatbot chooses its next step in a task. Which AI concept can provide a simple starting explanation?","","","","",,"A simple starting explanation is search and goal-directed problem solving, where the system evaluates possible next actions in order to move toward a desired outcome.","The answer should connect next-step choice with search or planning.","goal-directed action|search framing|task progression","teaching clarity|concept linkage","rubric","artificial-intelligence|search|situational|easy"
300,18,Artificial Intelligence,89,"Artificial Intelligence - Search and Problem Solving",89,"State Space Search Basics","1|6|16",medium,MCQ,"What is a state in an AI search problem?",Only the final answer,A specific situation or configuration in the problem,A programming language,A database server,B,"A state is a specific situation in the problem space.","Search moves from one state to another through actions.","state space|search state|problem representation","abstraction|accuracy","exact_match","artificial-intelligence|search|medium|mcq"
301,18,Artificial Intelligence,90,"Artificial Intelligence - Knowledge and Reasoning",90,"Facts Rules and Inference Basics","6|16",medium,MCQ,"If an AI system uses facts and rules to infer a new conclusion, which capability is it using?",Rendering,Reasoning,Compression,Compilation,B,"It is using reasoning.","Reasoning derives conclusions from existing knowledge.","facts and rules|inference|AI reasoning","logic|accuracy","exact_match","artificial-intelligence|reasoning|medium|mcq"
302,18,Artificial Intelligence,91,"Artificial Intelligence - Planning and Decision Making",91,"Goal-Based Action Sequencing","6|16",medium,Subjective,"How is planning different from simply reacting immediately?","","","","",,"Planning considers future steps and goal achievement over time, while immediate reaction focuses only on the current moment without a broader action sequence.","The answer should contrast foresight with immediate response.","planning vs reaction|future steps|goal orientation","comparison thinking|clarity","rubric","artificial-intelligence|planning|medium|subjective"
303,18,Artificial Intelligence,88,"Artificial Intelligence - Intelligent Agents",88,"Perception and Action Basics","6|7|16",medium,Subjective,"Give one real-world example of an intelligent agent and explain why it fits the idea.","","","","","","A navigation app is an intelligent agent because it perceives location and traffic conditions, then suggests actions or routes to help reach a destination efficiently.","The answer should provide a real example and link it to perception and action.","intelligent agent example|real-world AI|perception-action loop","application thinking|clarity","rubric","artificial-intelligence|agents|medium|subjective"
304,18,Artificial Intelligence,90,"Artificial Intelligence - Knowledge and Reasoning",90,"Facts Rules and Inference Basics","6|16",medium,Situational,"Your platform wants to explain why AI-generated suggestions should still be checked by humans. Which reasoning-related limitation should be highlighted?","","","","",,"The platform should highlight that AI may infer conclusions from incomplete, weak, or misleading information, so human review is important for correctness, context, and responsibility.","The answer should connect reasoning quality to input quality and oversight.","AI limitations|incomplete information|human oversight","responsibility|critical thinking","rubric","artificial-intelligence|reasoning|situational|medium"
305,18,Artificial Intelligence,91,"Artificial Intelligence - Planning and Decision Making",91,"Goal-Based Action Sequencing","6|16",medium,Situational,"A learner solves one-step problems well but struggles in multi-step scenarios. Why should the app introduce planning next?","","","","",,"The app should introduce planning because multi-step scenarios require thinking ahead, sequencing actions, and considering how current choices affect future outcomes.","The response should connect planning to multi-step reasoning.","multi-step reasoning|goal sequencing|future consequences","coaching mindset|structured thinking","rubric","artificial-intelligence|planning|situational|medium"
306,18,Artificial Intelligence,89,"Artificial Intelligence - Search and Problem Solving",89,"State Space Search Basics","1|6|16",hard,MCQ,"Why is state representation important in AI search?",It removes the need for goals,It determines how clearly the problem can be explored and solved,It only affects screen color,It replaces reasoning entirely,B,"State representation is important because it shapes how the problem is explored and solved.","Poor representation can make search inefficient or unclear.","state representation|problem modeling|search efficiency","abstraction|accuracy","exact_match","artificial-intelligence|search|hard|mcq"
307,18,Artificial Intelligence,90,"Artificial Intelligence - Knowledge and Reasoning",90,"Facts Rules and Inference Basics","6|16",hard,Subjective,"Explain why reasoning systems depend heavily on the quality of their knowledge base.","","","","","","Reasoning systems depend on the quality of their knowledge base because incomplete, incorrect, or poorly structured knowledge leads to weak or wrong conclusions even if the inference process itself is sound.","The answer should mention that inference quality depends on knowledge quality.","knowledge base quality|inference quality|AI reliability","system thinking|conceptual depth","rubric","artificial-intelligence|reasoning|hard|subjective"
308,18,Artificial Intelligence,88,"Artificial Intelligence - Intelligent Agents",88,"Perception and Action Basics","6|7|16",hard,Subjective,"Differentiate between an agent that merely reacts and one that behaves intelligently toward goals.","","","","","","A merely reactive agent responds to immediate inputs only, while an intelligent goal-directed agent considers objectives, context, and possibly future consequences when choosing actions.","The answer should compare reflex behavior with goal-directed intelligent behavior.","reactive agent vs intelligent agent|goal orientation|context awareness","comparison thinking|AI understanding","rubric","artificial-intelligence|agents|hard|subjective"
309,18,Artificial Intelligence,91,"Artificial Intelligence - Planning and Decision Making",91,"Goal-Based Action Sequencing","6|16",hard,Situational,"Your app wants to judge whether a user has strategic thinking, not just factual knowledge. Why are planning-based questions useful for this?","","","","",,"Planning-based questions are useful because they reveal whether the user can sequence actions, anticipate consequences, manage tradeoffs, and move systematically toward a goal rather than just recall isolated facts.","The answer should connect planning questions to strategic reasoning.","strategic thinking|action sequencing|goal orientation","evaluation judgment|higher-order reasoning","rubric","artificial-intelligence|planning|situational|hard"
310,18,Artificial Intelligence,90,"Artificial Intelligence - Knowledge and Reasoning",90,"Facts Rules and Inference Basics","6|16",hard,Situational,"A team wants to use AI reasoning to infer hidden skills from written answers. What caution should your app surface before over-trusting the output?","","","","",,"The app should surface that inferred conclusions depend on the quality, coverage, and bias of the underlying rules or patterns, so inferred hidden skills should be treated as probabilistic indicators rather than unquestionable facts.","The answer should mention uncertainty and dependence on representation.","hidden skill inference|uncertainty|rule quality|AI caution","responsibility|critical judgment","rubric","artificial-intelligence|reasoning|situational|hard"
311,19,Data Analytics,92,"Data Analytics - Data Cleaning",92,"Missing Values and Consistency Basics","5|13|14",easy,MCQ,"Why is data cleaning important before analysis?",To make charts colorful,To improve data quality and reliability,To remove all data,To avoid any calculations,B,"Data cleaning improves data quality and reliability.","Analysis is only as trustworthy as the underlying data.","data cleaning|data quality|analysis preparation","quality mindset|accuracy","exact_match","data-analytics|cleaning|easy|mcq"
312,19,Data Analytics,93,"Data Analytics - Descriptive Statistics",93,"Mean Median and Spread Basics","5|13|14",easy,MCQ,"Which measure is commonly used to represent the average value of a dataset?",Mode,Mean,Index,Range,B,"Mean is a common average measure.","It is computed by dividing the sum by the count.","mean|average|descriptive statistics","numerical clarity|accuracy","exact_match","data-analytics|statistics|easy|mcq"
313,19,Data Analytics,94,"Data Analytics - Interpretation and Insights",94,"Trend and Pattern Reading","5|13|14",easy,MCQ,"What is the purpose of data analysis in a business setting?",To make decisions based on evidence,To replace all managers,To avoid measurement,To remove customer feedback,A,"Data analysis supports evidence-based decisions.","It turns raw data into useful insights.","data analysis purpose|evidence-based decisions","business thinking|accuracy","exact_match","data-analytics|insights|easy|mcq"
314,19,Data Analytics,95,"Data Analytics - Visualization",95,"Chart Selection and Clarity Basics","5|13|14",easy,Subjective,"Why are charts useful in analytics?","","","","",,"Charts make data easier to understand by showing patterns, comparisons, and trends visually.","The answer should mention visual understanding of patterns or comparisons.","charts|visual communication|pattern visibility","clarity|communication","rubric","data-analytics|visualization|easy|subjective"
315,19,Data Analytics,92,"Data Analytics - Data Cleaning",92,"Missing Values and Consistency Basics","5|13|14",easy,Subjective,"What is missing data, and why can it be a problem?","","","","",,"Missing data refers to values that are absent from a dataset. It can be a problem because it may distort analysis, reduce reliability, or hide real patterns.","The answer should mention absent values and impact on analysis.","missing data|data quality issue|analysis impact","clarity|data awareness","rubric","data-analytics|cleaning|easy|subjective"
316,19,Data Analytics,94,"Data Analytics - Interpretation and Insights",94,"Trend and Pattern Reading","5|13|14",easy,Situational,"A product team asks whether learners are improving over time. What type of analytics reasoning should your app encourage first?","","","","",,"The app should encourage trend reading over time, comparing performance across periods to see whether scores, completion rates, or engagement are improving or declining.","The response should connect the question to trend analysis.","trend analysis|time-based comparison|performance change","application thinking|structured interpretation","rubric","data-analytics|insights|situational|easy"
317,19,Data Analytics,93,"Data Analytics - Descriptive Statistics",93,"Mean Median and Spread Basics","5|13|14",medium,MCQ,"Which measure is often more robust than the mean when a dataset has extreme outliers?",Mean,Median,Total,Count,B,"Median is often more robust when outliers exist.","It depends on order rather than being pulled by extreme values.","median vs mean|outliers|robust measure","analytical judgment|accuracy","exact_match","data-analytics|statistics|medium|mcq"
