question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
130,8,Data Structures,45,"Data Structures - Trees",45,"Basic Tree Traversal and Properties","1|2|4|12",medium,Situational,"Your app wants to teach folder organization on a computer. Why are trees a good conceptual match?","","","","",,"Trees model hierarchical relationships well, so folders, subfolders, and files can be represented as parent-child structures in a natural way.","The response should connect hierarchy, parent-child relations, and real-world folder structures.","tree hierarchy|folder structure|parent child relationship","application mindset|concept mapping","rubric","data-structures|trees|situational|medium"
131,8,Data Structures,41,"Data Structures - Arrays",41,"Indexed Data Operations","1|2|4|7",hard,MCQ,"If an array uses zero-based indexing, what is the index of the 5th element?",3,4,5,6,B,"The 5th element is at index 4.","Zero-based indexing starts from 0, so the nth element is at index n-1.","zero-based indexing|array position","attention to detail|precision","exact_match","data-structures|arrays|hard|mcq"
132,8,Data Structures,42,"Data Structures - Linked Lists",42,"Singly Linked List Operations","1|2|4|7",hard,Subjective,"Why does a singly linked list not support direct random access like an array?","","","","",,"A singly linked list stores elements as nodes connected by pointers, so to reach a specific position you must traverse from the head node step by step instead of jumping directly by index.","A strong answer should contrast contiguous indexed access with pointer traversal.","linked list traversal|random access limitation|pointer structure","structured explanation|comparison thinking","rubric","data-structures|linked-list|hard|subjective"
133,8,Data Structures,43,"Data Structures - Stacks",43,"Stack Operations and Applications","1|2|4|9",hard,Situational,"A compiler feature needs to check whether brackets in code are balanced. Which data structure should the learning module recommend and why?","","","","",,"A stack should be recommended because opening brackets can be pushed when seen and matched in reverse order when closing brackets appear, which follows LIFO behavior.","The response should connect bracket matching to LIFO processing.","stack use case|balanced parentheses|LIFO logic","problem solving|applied reasoning","rubric","data-structures|stack|situational|hard"
134,8,Data Structures,44,"Data Structures - Queues",44,"Queue Operations and Scheduling Use Cases","1|2|4|9",hard,Subjective,"Compare a queue and a stack in terms of access order and give one use case for each.","","","","","","A queue follows FIFO and is useful for print job scheduling, while a stack follows LIFO and is useful for undo operations or function calls.","The answer should clearly compare FIFO and LIFO with relevant examples.","queue vs stack|FIFO|LIFO|use cases","comparison thinking|clarity","rubric","data-structures|queue-stack|hard|subjective"
135,8,Data Structures,45,"Data Structures - Trees",45,"Basic Tree Traversal and Properties","1|2|4|12",hard,Situational,"Your recommendation system needs to represent category hierarchies such as industry > role > skill > subskill. Why is a tree-like structure useful here?","","","","",,"A tree-like structure is useful because it naturally organizes levels of hierarchy, supports parent-child navigation, and helps map broader categories into increasingly specific concepts.","The answer should mention hierarchy, navigation, and structured representation.","taxonomy modeling|hierarchy representation|skill graph basics","system thinking|organization","rubric","data-structures|trees|situational|hard"
136,8,Data Structures,41,"Data Structures - Arrays",41,"Indexed Data Operations","1|2|4|7",hard,Situational,"A learner understands arrays theoretically but fails to use them in coding tasks. What kind of question should your app ask next to test practical understanding?","","","","",,"The app should ask the learner to store and process a small list such as quiz marks or prices, then retrieve, update, and compute over indexed elements. This tests actual manipulation rather than definition recall.","The response should focus on practical array operations in a realistic mini-task.","array application|indexed manipulation|practical assessment","evaluation design|applied thinking","rubric","data-structures|arrays|situational|hard"
137,9,Algorithms,46,"Algorithms - Linear Search",46,"Sequential Search Implementation","1|2|4|7",easy,MCQ,"What is the main idea of linear search?",Check the middle element only,Check elements one by one until the target is found,Sort the array first,Use recursion only,B,"Linear search checks elements one by one.","It scans sequentially until it finds the target or reaches the end.","linear search|sequential scan","stepwise thinking|accuracy","exact_match","algorithms|linear-search|easy|mcq"
138,9,Algorithms,47,"Algorithms - Binary Search",47,"Sorted Search Optimization","1|2|4|7",easy,MCQ,"Binary search works efficiently only when the data is:",Randomized,Sorted,Encrypted,Duplicated,B,"Binary search requires sorted data.","It repeatedly divides the search range based on order.","binary search|sorted data requirement","optimization awareness|recall","exact_match","algorithms|binary-search|easy|mcq"
139,9,Algorithms,48,"Algorithms - Basic Sorting",48,"Bubble and Selection Sort Analysis","1|2|4|7",easy,MCQ,"Which sorting technique repeatedly swaps adjacent elements if they are in the wrong order?",Merge sort,Quick sort,Bubble sort,Heap sort,C,"Bubble sort repeatedly compares and swaps adjacent elements.","This is the defining behavior of bubble sort.","bubble sort|adjacent swaps","pattern recognition|algorithm recall","exact_match","algorithms|sorting|easy|mcq"
140,9,Algorithms,49,"Algorithms - Recursion",49,"Recursive Function Tracing","1|2|4|7",easy,Subjective,"What is recursion in programming and algorithms?","","","","",,"Recursion is a technique where a function solves a problem by calling itself on a smaller version of the same problem until a base case is reached.","The answer should mention self-calls and a base case.","recursion|self-call|base case","abstraction|clarity","rubric","algorithms|recursion|easy|subjective"
141,9,Algorithms,50,"Algorithms - Greedy Strategy",50,"Greedy Decision Application","1|2|4|7",easy,Subjective,"In simple terms, what does a greedy algorithm try to do?","","","","",,"A greedy algorithm makes the best immediate or local choice at each step in the hope of reaching a good overall solution.","The answer should mention local optimal choice.","greedy algorithm|local optimum|decision strategy","heuristic thinking|clarity","rubric","algorithms|greedy|easy|subjective"
142,9,Algorithms,46,"Algorithms - Linear Search",46,"Sequential Search Implementation","1|2|4|7",easy,Situational,"Your app is teaching beginners how to find a number in a small unsorted list. Why is linear search a good starting algorithm?","","","","",,"Linear search is a good starting algorithm because it is simple to understand, works on unsorted data, and helps learners build step-by-step checking logic.","The response should connect simplicity and unsorted data handling.","linear search for beginners|unsorted list|stepwise search","instructional design|simplicity","rubric","algorithms|linear-search|situational|easy"
143,9,Algorithms,47,"Algorithms - Binary Search",47,"Sorted Search Optimization","1|2|4|7",medium,MCQ,"What is the first comparison point in a standard binary search?",First element,Last element,Middle element,Random element,C,"Binary search starts by checking the middle element.","This allows halving the search space each step.","binary search|middle element|divide and conquer","optimization|logic","exact_match","algorithms|binary-search|medium|mcq"
144,9,Algorithms,48,"Algorithms - Basic Sorting",48,"Bubble and Selection Sort Analysis","1|2|4|7",medium,MCQ,"Which of the following is true about selection sort?",It swaps adjacent elements in every pass,It selects the minimum element and places it in correct position,It only works on strings,It requires recursion,B,"Selection sort repeatedly places the minimum remaining element in its correct position.","That is the core idea of selection sort.","selection sort|min element placement","comparison reasoning|algorithm understanding","exact_match","algorithms|selection-sort|medium|mcq"
145,9,Algorithms,49,"Algorithms - Recursion",49,"Recursive Function Tracing","1|2|4|7",medium,Subjective,"Why is a base case necessary in recursion?","","","","",,"A base case is necessary to stop recursive calls. Without it, the function would continue calling itself indefinitely and could cause a stack overflow.","The answer should mention termination and avoiding infinite recursion.","base case|termination|stack overflow","causal reasoning|debugging awareness","rubric","algorithms|recursion|medium|subjective"
146,9,Algorithms,50,"Algorithms - Greedy Strategy",50,"Greedy Decision Application","1|2|4|7",medium,Subjective,"Give one example where making a locally best choice at each step could be useful.","","","","","","Choosing the earliest finishing activity in activity selection or using high-value denominations in some coin systems are common greedy-style examples.","The answer should identify a locally optimal decision process.","greedy example|local choice|applied strategy","heuristic thinking|application","rubric","algorithms|greedy|medium|subjective"
147,9,Algorithms,47,"Algorithms - Binary Search",47,"Sorted Search Optimization","1|2|4|7",medium,Situational,"A learner keeps applying binary search to unsorted arrays. How should the app respond to correct the misconception?","","","","",,"The app should explicitly explain that binary search depends on order. It should show a counterexample on unsorted data, then prompt the learner either to sort first or to choose linear search.","The response should address the precondition of sorted input.","binary search precondition|sorted array requirement|misconception correction","coaching mindset|concept correction","rubric","algorithms|binary-search|situational|medium"
148,9,Algorithms,46,"Algorithms - Linear Search",46,"Sequential Search Implementation","1|2|4|7",medium,Situational,"When might linear search still be a practical choice even if faster algorithms exist?","","","","",,"Linear search can still be practical for very small lists, unsorted data, or one-time searches where the overhead of sorting or more complex logic is not worth it.","A good answer should mention data size, ordering, and tradeoffs.","linear search tradeoff|small input|unsorted data","decision-making|practical reasoning","rubric","algorithms|linear-search|situational|medium"
149,9,Algorithms,48,"Algorithms - Basic Sorting",48,"Bubble and Selection Sort Analysis","1|2|4|7",hard,MCQ,"If a list is already sorted, which basic sort still performs many unnecessary comparisons in its simplest form?",Bubble sort,Selection sort,Both basic bubble and selection sorts,None,C,"Both bubble sort and selection sort can still perform many comparisons in their simple forms.","This tests basic awareness that naive versions do not fully exploit existing order.","sorting comparisons|algorithm efficiency|already sorted input","efficiency awareness|analysis","exact_match","algorithms|sorting|hard|mcq"
150,9,Algorithms,49,"Algorithms - Recursion",49,"Recursive Function Tracing","1|2|4|7",hard,Subjective,"Explain how recursion can help solve a problem by reducing it into smaller subproblems.","","","","","","Recursion works by expressing a problem in terms of a smaller instance of itself, solving the smaller case repeatedly until a simple base case is reached, and then combining or returning the results.","A strong answer should mention self-similarity, subproblem reduction, and base case.","recursive decomposition|smaller subproblems|base case","abstraction|structured explanation","rubric","algorithms|recursion|hard|subjective"
151,9,Algorithms,50,"Algorithms - Greedy Strategy",50,"Greedy Decision Application","1|2|4|7",hard,Situational,"You are evaluating whether a learner understands greedy reasoning or is only memorizing examples. What kind of assessment prompt would reveal genuine understanding?","","","","",,"A strong prompt would present a new scenario and ask the learner to justify why a locally optimal step might or might not lead to a good global solution, instead of recalling a known problem name.","The response should focus on transfer and justification, not memorization.","greedy assessment|concept transfer|local vs global reasoning","evaluation thinking|critical reasoning","rubric","algorithms|greedy|situational|hard"
152,9,Algorithms,47,"Algorithms - Binary Search",47,"Sorted Search Optimization","1|2|4|7",hard,Situational,"Your app wants to explain why binary search is faster than linear search on large sorted data. What comparison should it visualize?","","","","",,"It should visualize how linear search may inspect items one by one while binary search repeatedly halves the remaining search space, leading to far fewer checks on large sorted lists.","The answer should mention sequential scan vs halving the range.","binary vs linear search|halving search space|performance intuition","communication|visual reasoning","rubric","algorithms|binary-search|situational|hard"
153,9,Algorithms,46,"Algorithms - Linear Search",46,"Sequential Search Implementation","1|2|4|7",hard,Subjective,"Compare linear search and binary search in terms of prerequisites and typical use cases.","","","","","","Linear search works on any list, including unsorted data, and is simple for small or one-time searches. Binary search requires sorted data but is much more efficient on large ordered collections.","The answer should compare requirements and practical tradeoffs.","linear vs binary search|sorted prerequisite|use cases","comparison thinking|decision-making","rubric","algorithms|searching|hard|subjective"
154,10,Database Management Systems,51,"DBMS - Tables and Keys",51,"Primary and Foreign Key Mapping","2|4|5|12|14",easy,MCQ,"What is the main purpose of a primary key in a table?",To sort records automatically,To uniquely identify each row,To encrypt the table,To create backups,B,"A primary key uniquely identifies each row in a table.","Primary keys ensure each record can be uniquely referenced.","primary key|unique row identification","data discipline|accuracy","exact_match","dbms|primary-key|easy|mcq"
155,10,Database Management Systems,52,"DBMS - SELECT Queries",52,"Filtering and Sorting Data","2|4|5|12|14",easy,MCQ,"Which SQL command is used to retrieve data from a table?",INSERT,SELECT,UPDATE,DELETE,B,"SELECT is used to retrieve data.","SELECT is the standard SQL retrieval command.","sql select|data retrieval","precision|query basics","exact_match","dbms|select|easy|mcq"
156,10,Database Management Systems,53,"DBMS - Joins",53,"Inner and Outer Join Usage","2|4|5|12|14",easy,MCQ,"Why are joins used in SQL?",To delete columns,To combine related data from multiple tables,To rename all tables,To compress the database,B,"Joins combine related data from multiple tables.","They use relationships between tables, often through keys.","joins|table relationships|data combination","relational thinking|accuracy","exact_match","dbms|joins|easy|mcq"
157,10,Database Management Systems,54,"DBMS - Normalization",54,"Normal Form Application","2|4|12",easy,Subjective,"What is normalization in databases in simple terms?","","","","",,"Normalization is the process of organizing database tables to reduce redundancy and improve consistency.","The answer should mention reducing duplication and improving design.","normalization|redundancy reduction|consistency","structured explanation|concept clarity","rubric","dbms|normalization|easy|subjective"
158,10,Database Management Systems,55,"DBMS - Transactions and ACID",55,"Consistency and Isolation Concepts","2|4|12",easy,Subjective,"What does the letter A stand for in ACID properties?","","","","",,"A stands for Atomicity.","Atomicity means a transaction happens completely or not at all.","acid|atomicity|transactions","accuracy|recall","rubric","dbms|acid|easy|subjective"
159,10,Database Management Systems,51,"DBMS - Tables and Keys",51,"Primary and Foreign Key Mapping","2|4|5|12|14",easy,Situational,"Your app stores users and their quiz attempts in different tables. Why is a foreign key useful here?","","","","",,"A foreign key links quiz attempts to the correct user record, maintaining relationships and helping ensure referential consistency between the tables.","The answer should mention linking tables and maintaining valid relationships.","foreign key|referential integrity|user attempt mapping","system thinking|data modeling","rubric","dbms|foreign-key|situational|easy"
160,10,Database Management Systems,52,"DBMS - SELECT Queries",52,"Filtering and Sorting Data","2|4|5|12|14",medium,MCQ,"Which clause is used to filter rows in SQL?",ORDER BY,GROUP BY,WHERE,HAVING,C,"WHERE filters rows based on conditions.","WHERE is used before grouping to limit rows.","sql where|row filtering|query conditions","precision|query understanding","exact_match","dbms|where|medium|mcq"
161,10,Database Management Systems,53,"DBMS - Joins",53,"Inner and Outer Join Usage","2|4|5|12|14",medium,MCQ,"Which join returns only matching rows from both tables?",LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL JOIN,C,"INNER JOIN returns rows with matches in both tables.","It keeps only records satisfying the join condition on both sides.","inner join|matching rows","relational thinking|accuracy","exact_match","dbms|inner-join|medium|mcq"
162,10,Database Management Systems,54,"DBMS - Normalization",54,"Normal Form Application","2|4|12",medium,Subjective,"Why can storing repeated data in many rows create problems in a database?","","","","",,"Repeated data can cause redundancy, inconsistent updates, wasted space, and insertion or deletion anomalies.","A strong answer should mention anomalies and consistency issues.","redundancy|update anomalies|database design","system design|cause-effect reasoning","rubric","dbms|
