question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
1,1,Mathematics,1,"Algebra - Linear Equations",1,"Linear Equations Solving","5|6|13|14",easy,MCQ,"Solve for x: 2x + 5 = 17",4,5,6,7,C,"x = 6","Subtract 5 from both sides to get 2x = 12, then divide by 2.","linear equation|isolation of variable|basic algebra","accuracy|stepwise thinking","exact_match","mathematics|algebra|linear-equations|easy|mcq"
2,1,Mathematics,2,"Algebra - Quadratic Equations",2,"Quadratic Roots and Discriminant","1|5|6",easy,MCQ,"What are the roots of x^2 - 5x + 6 = 0?",1 and 6,2 and 3,3 and 4,1 and 5,B,"The roots are 2 and 3.","Factorize as (x-2)(x-3)=0.","quadratic equation|factorization|roots","pattern recognition|accuracy","exact_match","mathematics|quadratic|easy|mcq"
3,1,Mathematics,3,"Geometry - Triangles",3,"Triangle Properties and Applications","5|13",easy,MCQ,"What is the sum of the interior angles of a triangle?",90,180,270,360,B,"The sum is 180 degrees.","A triangle’s interior angles always add up to 180 degrees.","triangle angle sum|geometry basics","foundational reasoning|accuracy","exact_match","mathematics|geometry|triangles|easy|mcq"
4,1,Mathematics,4,"Geometry - Coordinate Geometry",4,"Distance and Slope Analysis","5|6|14",easy,MCQ,"What is the distance between points (0,0) and (3,4)?",4,5,6,7,B,"The distance is 5.","Using distance formula sqrt((3-0)^2 + (4-0)^2) = 5.","distance formula|coordinate plane","precision|formula application","exact_match","mathematics|coordinate-geometry|easy|mcq"
5,1,Mathematics,7,"Probability - Basic Events",7,"Simple Probability Computation","5|6|14",easy,MCQ,"A fair die is rolled once. What is the probability of getting a 4?",1/3,1/4,1/6,1/2,C,"The probability is 1/6.","One favorable outcome out of six equally likely outcomes.","probability|sample space|favorable outcomes","decision thinking|accuracy","exact_match","mathematics|probability|easy|mcq"
6,1,Mathematics,8,"Trigonometry - Ratios",8,"Trigonometric Ratio Application","1|5|10",easy,MCQ,"In a right triangle, if opposite = 3 and hypotenuse = 5, what is sin(theta)?",3/4,4/5,3/5,5/3,C,"sin(theta) = 3/5.","Sine is opposite divided by hypotenuse.","trigonometric ratios|right triangle","visualization|formula recall","exact_match","mathematics|trigonometry|easy|mcq"
7,1,Mathematics,5,"Calculus - Limits",5,"Limit Evaluation Basics","1|6|7",medium,MCQ,"Evaluate lim x->2 of (x^2 - 4)/(x - 2).",2,3,4,5,C,"The value is 4.","Factorize numerator as (x-2)(x+2), cancel x-2, then substitute x=2.","limits|factorization|continuity","analytical thinking|abstraction","exact_match","mathematics|calculus|limits|medium|mcq"
8,1,Mathematics,6,"Calculus - Derivatives",6,"Differentiation Fundamentals","1|6|7",medium,MCQ,"What is the derivative of 3x^2 + 2x + 1?",6x + 2,3x + 2,6x + 1,2x + 2,A,"The derivative is 6x + 2.","Apply power rule term by term.","derivatives|power rule","stepwise thinking|precision","exact_match","mathematics|calculus|derivatives|medium|mcq"
9,1,Mathematics,4,"Geometry - Coordinate Geometry",4,"Distance and Slope Analysis","5|14",medium,MCQ,"What is the slope of the line passing through (2,3) and (6,11)?",1,2,3,4,B,"The slope is 2.","Slope = (11-3)/(6-2) = 8/4 = 2.","slope formula|line geometry","precision|analytical thinking","exact_match","mathematics|coordinate-geometry|medium|mcq"
10,1,Mathematics,1,"Algebra - Linear Equations",1,"Linear Equations Solving","5|13",medium,Subjective,"A number is increased by 7 and the result is 25. Form an equation and solve it.","","","","",,"Let the number be x. Then x + 7 = 25, so x = 18.","The learner should convert words into an equation and isolate the variable correctly.","equation formation|variable modeling|basic algebra","translation skills|structured thinking","rubric","mathematics|algebra|linear-equations|medium|subjective"
