question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
228,14,Web Development,73,"Web Development - JavaScript Basics",73,"DOM Interaction and Events","3|4|8",easy,Situational,"A learner clicks a button on a page and expects content to change immediately. Which web concept should your app introduce first?","","","","",,"The app should introduce JavaScript event handling and DOM manipulation, because button clicks trigger events and JavaScript can update page content dynamically in response.","The response should connect user actions with browser events and dynamic updates.","DOM events|button click|dynamic content update","interaction thinking|concept mapping","rubric","web-development|javascript|situational|easy"
229,14,Web Development,71,"Web Development - HTML Structure",71,"Page Layout with HTML Elements","3|4|8",medium,MCQ,"Which HTML element is most appropriate for a top-level page title?",div,span,h1,style,C,"The h1 element is appropriate for the main page title.","Heading elements provide document structure and semantic meaning.","HTML headings|semantic markup|page title","structure awareness|accuracy","exact_match","web-development|html|medium|mcq"
230,14,Web Development,72,"Web Development - CSS Styling",72,"Selectors Layout and Styling Basics","3|4|8",medium,MCQ,"Which CSS concept controls space outside an element’s border?",padding,margin,border,font-size,B,"Margin controls space outside the border.","Padding is inside the border; margin is outside.","CSS box model|margin vs padding","precision|visual reasoning","exact_match","web-development|css|medium|mcq"
231,14,Web Development,73,"Web Development - JavaScript Basics",73,"DOM Interaction and Events","3|4|8",medium,Subjective,"What is the DOM in web development, and why is it useful for JavaScript?","","","","",,"The DOM is a structured representation of the webpage that JavaScript can read and modify, allowing developers to update content, styles, and behavior dynamically.","The answer should mention a document structure that JavaScript can manipulate.","DOM|document object model|dynamic updates","structured explanation|web reasoning","rubric","web-development|dom|medium|subjective"
232,14,Web Development,71,"Web Development - HTML Structure",71,"Page Layout with HTML Elements","3|4|8",medium,Subjective,"Why is semantic HTML useful beyond just making the page look organized?","","","","",,"Semantic HTML improves accessibility, search understanding, maintainability, and helps tools interpret the meaning of content, not just its appearance.","The answer should mention meaning, accessibility, and maintainability.","semantic HTML|accessibility|structure meaning","broader thinking|clarity","rubric","web-development|semantic-html|medium|subjective"
233,14,Web Development,72,"Web Development - CSS Styling",72,"Selectors Layout and Styling Basics","3|4|8",medium,Situational,"Your app reviews a user portfolio page that works but looks cluttered and inconsistent. Which CSS-focused learning outcome should be recommended first?","","","","",,"The app should recommend layout and spacing fundamentals such as the box model, margin, padding, and consistent styling rules, because visual clarity often depends on these basics.","The response should connect visual quality to layout fundamentals.","CSS spacing|layout basics|visual consistency","design judgment|instructional guidance","rubric","web-development|css|situational|medium"
234,14,Web Development,73,"Web Development - JavaScript Basics",73,"DOM Interaction and Events","3|4|8",medium,Situational,"A learner writes HTML and CSS correctly but cannot make forms interactive. What concept gap should the app identify?","","","","",,"The app should identify a gap in JavaScript event handling and DOM interaction, because interactivity requires responding to user actions and updating page behavior programmatically.","The answer should mention events and DOM logic.","form interactivity|event handling|DOM manipulation","diagnostic thinking|concept linkage","rubric","web-development|javascript|situational|medium"
235,14,Web Development,71,"Web Development - HTML Structure",71,"Page Layout with HTML Elements","3|4|8",hard,MCQ,"Why is using div for every element considered weaker than using semantic tags where appropriate?",Div is faster than all tags,Semantic tags convey meaning and improve structure,Div cannot contain text,Semantic tags are only for CSS,B,"Semantic tags provide meaning and clearer structure.","They help accessibility, maintainability, and document understanding.","semantic tags|HTML meaning|structure quality","quality mindset|accuracy","exact_match","web-development|html|hard|mcq"
236,14,Web Development,72,"Web Development - CSS Styling",72,"Selectors Layout and Styling Basics","3|4|8",hard,Subjective,"Explain the difference between padding and margin with a practical example.","","","","","","Padding is the space inside an element between its content and border, while margin is the space outside the border separating it from other elements. For example, a card can use padding to keep text away from its edges and margin to separate it from neighboring cards.","The answer should distinguish internal and external spacing with an example.","padding vs margin|box model|layout spacing","precision|explanation quality","rubric","web-development|css|hard|subjective"
237,14,Web Development,73,"Web Development - JavaScript Basics",73,"DOM Interaction and Events","3|4|8",hard,Subjective,"Why is event-driven thinking important in frontend development?","","","","",,"Event-driven thinking is important because user interfaces react to clicks, typing, scrolling, and other actions, so developers must design code around events and responses rather than fixed linear execution only.","The answer should mention UI actions and reactive behavior.","event driven programming|frontend interaction|user events","system thinking|practical reasoning","rubric","web-development|javascript|hard|subjective"
