question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
323,19,Data Analytics,93,"Data Analytics - Descriptive Statistics",93,"Mean Median and Spread Basics","5|13|14",hard,MCQ,"If one user’s score is extremely higher than everyone else’s, which average measure may become misleading?",Median,Mean,Mode,Range,B,"The mean may become misleading because it is sensitive to extreme values.","Outliers can pull the mean away from the typical center of the data.","outliers|mean sensitivity|descriptive statistics","analytical judgment|accuracy","exact_match","data-analytics|statistics|hard|mcq"
324,19,Data Analytics,94,"Data Analytics - Interpretation and Insights",94,"Trend and Pattern Reading","5|13|14",hard,Subjective,"Why is it risky to jump from correlation in data directly to a strong causal conclusion?","","","","",,"It is risky because two variables moving together does not prove that one causes the other. Other hidden factors or coincidence may explain the pattern.","The answer should distinguish correlation from causation.","correlation vs causation|confounding factors|data interpretation","critical thinking|reasoning depth","rubric","data-analytics|insights|hard|subjective"
325,19,Data Analytics,95,"Data Analytics - Visualization",95,"Chart Selection and Clarity Basics","5|13|14",hard,Subjective,"Explain why good visualization is not only about aesthetics but also about accurate decision-making.","","","","","","Good visualization is not only about aesthetics because the chart must represent data honestly, make patterns understandable, and reduce misinterpretation so decisions are based on clear evidence rather than confusing presentation.","The answer should mention truthful communication and decision support.","visual accuracy|decision support|clear communication","communication judgment|data ethics awareness","rubric","data-analytics|visualization|hard|subjective"
326,19,Data Analytics,92,"Data Analytics - Data Cleaning",92,"Missing Values and Consistency Basics","5|13|14",hard,Situational,"A recommendation model starts giving strange outputs after importing a new CSV from another team. What data analytics habit should your app encourage before blaming the model?","","","","",,"The app should encourage checking data quality first, including schema consistency, missing values, unexpected categories, formatting issues, and duplicates, because many problems begin in the data rather than the model.","The response should prioritize data validation before model blame.","data validation|pipeline debugging|input quality checks","debugging mindset|analytical discipline","rubric","data-analytics|cleaning|situational|hard"
327,19,Data Analytics,94,"Data Analytics - Interpretation and Insights",94,"Trend and Pattern Reading","5|13|14",hard,Situational,"Your app shows that user engagement dropped after a new feature launch. Why should the analysis layer avoid making a single-cause assumption too quickly?","","","","",,"It should avoid a single-cause assumption because many factors could influence engagement, such as seasonality, interface changes, communication timing, or data collection differences. Careful analysis is needed before concluding the feature caused the drop.","The answer should mention multi-factor interpretation and caution.","multi-factor analysis|causal caution|engagement metrics","critical reasoning|product judgment","rubric","data-analytics|insights|situational|hard"
328,19,Data Analytics,95,"Data Analytics - Visualization",95,"Chart Selection and Clarity Basics","5|13|14",hard,Situational,"You want the RAG system to retrieve questions about performance trends quickly. Why is chart-type and trend-related metadata useful in the database?","","","","",,"This metadata is useful because it helps the system retrieve the right analytical context, such as time-series interpretation or visualization guidance, instead of only matching generic analytics text.","The answer should connect metadata to better retrieval relevance.","RAG metadata|trend analysis tags|visualization context","information organization|retrieval thinking","rubric","data-analytics|visualization|RAG|hard|situational"
329,20,DevOps,96,"DevOps - CI CD Foundations",96,"Build Test Deploy Pipeline Basics","2|4|9|10",easy,MCQ,"What does CI in DevOps usually stand for?",Continuous Integration,Central Installation,Code Inspection,Container Isolation,A,"CI stands for Continuous Integration.","It refers to regularly integrating code changes into a shared codebase.","CI|continuous integration|DevOps basics","process awareness|accuracy","exact_match","devops|ci|easy|mcq"
330,20,DevOps,97,"DevOps - Automation",97,"Task Automation and Scripting Basics","2|4|9|10",easy,MCQ,"Why is automation important in DevOps?",It adds manual work,It reduces repetitive manual effort and errors,It deletes all logs,It removes testing forever,B,"Automation reduces repetitive manual effort and errors.","It improves consistency and speed across workflows.","automation|manual effort reduction|DevOps","efficiency thinking|accuracy","exact_match","devops|automation|easy|mcq"
331,20,DevOps,98,"DevOps - Containers and Deployment",98,"Container Basics and Portability","2|4|9|10",easy,MCQ,"What is a container mainly useful for?",Only storing spreadsheets,Packaging an application and its dependencies consistently,Replacing all networks,Designing UI screens,B,"A container packages an application with its dependencies consistently.","This supports portability across environments.","containers|application packaging|portability","system awareness|accuracy","exact_match","devops|containers|easy|mcq"
332,20,DevOps,99,"DevOps - Monitoring and Reliability",99,"Logs Metrics and Alerting Basics","2|4|9|10",easy,Subjective,"Why is monitoring important after deployment?","","","","",,"Monitoring is important because it helps teams observe system health, detect problems, and respond before users are heavily affected.","The answer should mention visibility into system behavior after release.","monitoring|post-deployment visibility|issue detection","reliability thinking|clarity","rubric","devops|monitoring|easy|subjective"
333,20,DevOps,100,"DevOps - Collaboration and Delivery Culture",100,"Shared Responsibility and Fast Feedback","2|4|9|10",easy,Subjective,"What is the basic idea behind DevOps culture?","","","","",,"The basic idea behind DevOps culture is collaboration between development and operations to deliver software faster, more reliably, and with shared responsibility.","The answer should mention collaboration and delivery improvement.","DevOps culture|collaboration|shared responsibility","team thinking|clarity","rubric","devops|culture|easy|subjective"
334,20,DevOps,96,"DevOps - CI CD Foundations",96,"Build Test Deploy Pipeline Basics","2|4|9|10",easy,Situational,"A learner asks why teams do not just deploy code manually every time. Which DevOps concept should the app introduce first?","","","","",,"The app should introduce CI/CD pipelines, because they make build, test, and deployment steps more repeatable, faster, and less error-prone than fully manual releases.","The response should connect repeatability and safety to pipelines.","CI/CD value|manual deployment risk|pipeline basics","process thinking|operational judgment","rubric","devops|cicd|situational|easy"
335,20,DevOps,97,"DevOps - Automation",97,"Task Automation and Scripting Basics","2|4|9|10",medium,MCQ,"What is a key benefit of scripting repetitive operational tasks?",It increases inconsistency,It makes execution faster and more consistent,It prevents logging,It removes all review processes,B,"Scripting makes repetitive tasks faster and more consistent.","Automation reduces human error in repeated procedures.","scripting|automation benefits|consistency","efficiency|accuracy","exact_match","devops|automation|medium|mcq"
336,20,DevOps,98,"DevOps - Containers and Deployment",98,"Container Basics and Portability","2|4|9|10",medium,MCQ,"Why are containers popular in deployment workflows?",They only work on one machine,They package software consistently across environments,They replace databases entirely,They remove application code,B,"Containers package software consistently across environments.","They help reduce 'works on my machine' problems.","containers|consistent environments|deployment reliability","system thinking|accuracy","exact_match","devops|containers|medium|mcq"
337,20,DevOps,99,"DevOps - Monitoring and Reliability",99,"Logs Metrics and Alerting Basics","2|4|9|10",medium,Subjective,"What is the difference between logs and metrics in simple operational terms?","","","","",,"Logs are detailed event records about what happened in the system, while metrics are numerical measurements that summarize system behavior such as latency, CPU use, or error rates.","The answer should contrast event detail with summarized numerical indicators.","logs vs metrics|observability basics|operations data","comparison thinking|clarity","rubric","devops|monitoring|medium|subjective"
338,20,DevOps,100,"DevOps - Collaboration and Delivery Culture",100,"Shared Responsibility and Fast Feedback","2|4|9|10",medium,Subjective,"Why can slow feedback between development and operations hurt delivery quality?","","","","",,"Slow feedback can delay bug detection, increase misunderstanding, prolong outages or deployment issues, and make it harder for teams to improve quickly and safely.","The answer should mention delay in correction and collaboration impact.","feedback loops|delivery quality|team coordination","collaboration reasoning|process awareness","rubric","devops|culture|medium|subjective"
339,20,DevOps,96,"DevOps - CI CD Foundations",96,"Build Test Deploy Pipeline Basics","2|4|9|10",medium,Situational,"Your platform deploys updates frequently. Why is automated testing inside the pipeline important before release?","","","","",,"Automated testing in the pipeline is important because it catches regressions early, increases release confidence, and reduces the chance of pushing broken changes to users.","The response should connect testing to release safety and speed.","pipeline testing|regression prevention|release confidence","quality mindset|operational thinking","rubric","devops|cicd|situational|medium"
340,20,DevOps,98,"DevOps - Containers and Deployment",98,"Container Basics and Portability","2|4|9|10",medium,Situational,"A developer says, 'It works on my laptop, so deployment should be easy.' What DevOps lesson should your app surface here?","","","","",,"The app should surface the importance of environment consistency and deployment packaging, showing how containers or standardized pipelines reduce differences between local development and production.","The answer should mention environment drift and consistency.","works on my machine|environment consistency|container value","concept correction|practical judgment","rubric","devops|containers|situational|medium"
341,20,DevOps,99,"DevOps - Monitoring and Reliability",99,"Logs Metrics and Alerting Basics","2|4|9|10",hard,MCQ,"Which practice helps teams detect issues in production quickly?",Ignoring logs,Monitoring and alerting,Manual compilation only,Disabling metrics,B,"Monitoring and alerting help teams detect issues quickly.","Operational visibility is critical after deployment.","monitoring|alerting|incident detection","reliability thinking|accuracy","exact_match","devops|monitoring|hard|mcq"
342,20,DevOps,97,"DevOps - Automation",97,"Task Automation and Scripting Basics","2|4|9|10",hard,Subjective,"Why can automation improve security and reliability as well as speed?","","","","",,"Automation can improve security and reliability because repeatable scripted processes reduce manual mistakes, enforce standard steps, and make deployments and operations more predictable and auditable.","The answer should mention consistency, reduced human error, and standardization.","automation|security through consistency|operational reliability","system thinking|structured explanation","rubric","devops|automation|hard|subjective"
343,20,DevOps,100,"DevOps - Collaboration and Delivery Culture",100,"Shared Responsibility and Fast Feedback","2|4|9|10",hard,Subjective,"Explain why DevOps is not just a toolset but also a way of working.","","","","","","DevOps is not just a toolset because its value comes from shared responsibility, faster feedback, collaboration, and continuous improvement across development and operations, not from tools alone.","The answer should emphasize culture and process, not only technology.","DevOps culture vs tools|shared responsibility|continuous improvement","broader reasoning|team mindset","rubric","devops|culture|hard|subjective"
344,20,DevOps,96,"DevOps - CI CD Foundations",96,"Build Test Deploy Pipeline Basics","2|4|9|10",hard,Situational,"Your assessment platform updates question banks, scoring logic, and metadata frequently. Why is CI/CD especially helpful for this kind of evolving system?","","","","",,"CI/CD is especially helpful because frequent changes can be integrated, tested, and deployed in a controlled repeatable way, reducing risk while enabling fast improvement of content and logic.","The response should connect high change frequency to pipeline value.","frequent updates|controlled deployment|assessment platform operations","operational reasoning|product thinking","rubric","devops|cicd|situational|hard"
345,20,DevOps,99,"DevOps - Monitoring and Reliability",99,"Logs Metrics and Alerting Basics","2|4|9|10",hard,Situational,"A recommendation feature silently starts failing after a release, but no one notices for hours. What DevOps gap does this reveal?","","","","",,"This reveals a gap in monitoring, alerting, and operational observability. The system should have detected failures through logs, metrics, or alerts before users were affected for so long.","The answer should mention visibility and alerting failure.","observability gap|alerting failure|silent production issue","diagnostic thinking|reliability mindset","rubric","devops|monitoring|situational|hard"
346,20,DevOps,98,"DevOps - Containers and Deployment",98,"Container Basics and Portability","2|4|9|10",hard,Situational,"You want your RAG service, backend API, and worker jobs to run consistently across environments. Why are containers useful here?","","","","",,"Containers are useful because they package each service with its dependencies, making behavior more consistent across development, testing, and production environments.","The answer should connect containers to consistency across multiple services.","multi-service deployment|container consistency|environment parity","architecture thinking|operational clarity","rubric","devops|containers|RAG|hard|situational"
347,6,Programming Fundamentals,32,"Programming - Control Flow",32,"Conditional and Loop Constructs","1|2|4|8",easy,Subjective,"What is the difference between an if statement and a loop?","","","","",,"An if statement makes a decision once based on a condition, while a loop repeats a block of code as long as a condition or iteration rule requires it.","The answer should contrast decision-making with repetition.","if vs loop|control flow comparison","comparison thinking|clarity","rubric","programming|control-flow|easy|subjective"
348,6,Programming Fundamentals,35,"Programming - Pseudocode Logic",35,"Algorithm Drafting with Pseudocode","1|8|13",hard,Subjective,"Explain why writing pseudocode can improve communication in team problem-solving, not just individual coding.","","","","","","Pseudocode improves team problem-solving because it expresses logic in a language-independent, structured way that others can review, discuss, and refine before implementation begins.","The answer should connect pseudocode with shared understanding and collaboration.","pseudocode collaboration|logic communication|team design","communication|collaboration","rubric","programming|pseudocode|hard|subjective"
349,7,Object-Oriented Programming,40,"OOP - Abstraction",40,"Abstract Classes and Interfaces","1|2|4|12",medium,MCQ,"Which OOP idea is most directly about exposing essential behavior while hiding implementation details?",Inheritance,Abstraction,Serialization,Iteration,B,"Abstraction focuses on exposing essential behavior while hiding implementation details.","It helps reduce complexity in system design.","abstraction|interface thinking|complexity reduction","system thinking|accuracy","exact_match","oop|abstraction|medium|mcq"
350,8,Data Structures,45,"Data Structures - Trees",45,"Basic Tree Traversal and Properties","1|2|4|12",easy,MCQ,"Which term best describes the top node of a tree?",Leaf,Root,Edge,Queue,B,"The top node of a tree is called the root.","The root is the starting node of the hierarchy.","tree root|basic tree terminology","hierarchy reasoning|accuracy","exact_match","data-structures|trees|easy|mcq"
351,9,Algorithms,48,"Algorithms - Basic Sorting",48,"Bubble and Selection Sort Analysis","1|2|4|7",medium,Subjective,"Why is comparing simple sorting algorithms still useful for beginners even if faster advanced sorts exist?","","","","",,"Comparing simple sorting algorithms is useful because it builds foundational algorithmic thinking, helps learners understand tradeoffs, and makes later advanced sorting concepts easier to grasp.","The answer should mention learning value and tradeoff understanding.","beginner algorithms|sorting intuition|tradeoffs","teaching insight|foundational reasoning","rubric","algorithms|sorting|medium|subjective"
352,10,Database Management Systems,53,"DBMS - Joins",53,"Inner and Outer Join Usage","2|4|5|12|14",hard,MCQ,"Which join would you consider when you want all rows from the left table and matching rows from the right table?",INNER JOIN,LEFT JOIN,CROSS JOIN,SELF JOIN,B,"LEFT JOIN returns all rows from the left table and matching rows from the right table.","Non-matching right-side rows are returned as nulls.","left join|all left rows|matching right rows","relational thinking|accuracy","exact_match","dbms|left-join|hard|mcq"
353,11,Operating Systems,58,"OS - Memory Management",58,"Paging and Segmentation Basics","1|2|9|10",medium,Situational,"A candidate knows the term 'page fault' but cannot relate it to system behavior. What practical explanation should the app provide?","","","","",,"The app should explain that when a program needs data that is not currently in main memory, the OS must fetch the required page, which causes delay and affects performance.","The answer should connect the term to memory fetch behavior and performance impact.","page fault behavior|memory fetch|performance impact","concept application|clarity","rubric","operating-systems|page-fault|situational|medium"
354,12,Computer Networks,65,"Networks - HTTP and DNS",65,"Web Request Resolution Flow","2|3|4|9|10",easy,MCQ,"Which protocol is commonly used by browsers to request webpages from servers?",SMTP,HTTP,FTP only,DHCP,B,"HTTP is commonly used
