question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
259,16,Cyber Security,80,"Cyber Security - Authentication and Access",80,"Identity and Permission Basics","9|10|11",easy,MCQ,"What is authentication mainly used for?",To check who a user is,To increase screen brightness,To sort files,To compress data,A,"Authentication is used to verify identity.","It confirms that a user or system is who they claim to be.","authentication|identity verification|security basics","security awareness|accuracy","exact_match","cyber-security|authentication|easy|mcq"
260,16,Cyber Security,81,"Cyber Security - Threat Awareness",81,"Common Attack Types","9|10|11",easy,MCQ,"Which of the following is a common cyber threat?",Phishing,Pagination,Normalization,Compilation,A,"Phishing is a common cyber threat.","It tricks users into revealing sensitive information.","phishing|cyber threat|social engineering","threat awareness|accuracy","exact_match","cyber-security|threats|easy|mcq"
261,16,Cyber Security,82,"Cyber Security - Secure Practices",82,"Password and Safe Usage Basics","9|10|11",easy,Subjective,"Why is using a strong password important?","","","","",,"A strong password is important because it makes unauthorized access much harder and helps protect personal and organizational data.","The answer should mention protection against unauthorized access.","strong password|account protection|basic security","security mindset|clarity","rubric","cyber-security|passwords|easy|subjective"
262,16,Cyber Security,83,"Cyber Security - Data Protection",83,"Encryption and Data Safety Basics","9|10|11",easy,Subjective,"What is encryption in simple terms?","","","","",,"Encryption is the process of converting readable data into a protected form so only authorized parties can understand it.","The answer should mention protecting readable data by transforming it.","encryption|data protection|readable vs protected form","clarity|foundational understanding","rubric","cyber-security|encryption|easy|subjective"
263,16,Cyber Security,79,"Cyber Security - Core Principles",79,"Confidentiality Integrity Availability","9|10|11|15",easy,Situational,"A learner keeps treating cybersecurity as only 'hacking.' What broader foundation should your app introduce first?","","","","",,"The app should introduce core security principles such as confidentiality, integrity, and availability, showing that cybersecurity is also about protecting systems, data correctness, and continuous access.","The response should broaden the learner’s view beyond attacks alone.","CIA triad|security foundation|beyond hacking","concept clarification|teaching judgment","rubric","cyber-security|cia|situational|easy"
264,16,Cyber Security,80,"Cyber Security - Authentication and Access",80,"Identity and Permission Basics","9|10|11",medium,MCQ,"Which concept determines what an authenticated user is allowed to do?",Compression,Authorization,Indexing,Caching,B,"Authorization determines permitted actions after identity is verified.","Authentication verifies identity; authorization governs permissions.","authorization|permissions|access control","concept precision|accuracy","exact_match","cyber-security|authorization|medium|mcq"
265,16,Cyber Security,81,"Cyber Security - Threat Awareness",81,"Common Attack Types","9|10|11",medium,MCQ,"What is phishing mainly designed to do?",Improve network speed,Trick users into revealing sensitive information,Compress files,Increase battery life,B,"Phishing aims to trick users into revealing sensitive information.","It is often done through deceptive emails, messages, or websites.","phishing|social engineering|credential theft","threat awareness|judgment","exact_match","cyber-security|phishing|medium|mcq"
266,16,Cyber Security,82,"Cyber Security - Secure Practices",82,"Password and Safe Usage Basics","9|10|11",medium,Subjective,"Why is reusing the same password across many platforms risky?","","","","",,"Reusing the same password is risky because if one account is compromised, attackers may try the same password on other services, causing wider account exposure.","The answer should mention credential reuse risk across services.","password reuse|credential stuffing|account compromise","risk awareness|clarity","rubric","cyber-security|password-reuse|medium|subjective"
267,16,Cyber Security,83,"Cyber Security - Data Protection",83,"Encryption and Data Safety Basics","9|10|11",medium,Subjective,"How does encryption help when data is intercepted during transmission?","","","","",,"Encryption helps because intercepted data remains unreadable without the proper key, reducing the chance that attackers can use the information.","The answer should mention intercepted data and unreadability without a key.","encrypted transmission|interception protection|keys","security reasoning|clarity","rubric","cyber-security|data-protection|medium|subjective"
268,16,Cyber Security,80,"Cyber Security - Authentication and Access",80,"Identity and Permission Basics","9|10|11",medium,Situational,"A user logs in successfully but can see admin-only pages. Which security concept should your app use to explain the problem?","","","","",,"The app should explain authorization and access control, because the issue is not identity verification but incorrect permission assignment after login.","The response should distinguish authentication from authorization.","authorization issue|access control|role permissions","diagnostic thinking|concept differentiation","rubric","cyber-security|access-control|situational|medium"
269,16,Cyber Security,81,"Cyber Security - Threat Awareness",81,"Common Attack Types","9|10|11",medium,Situational,"Your platform sends emails to users. Why should learners understand phishing when designing or managing such systems?","","","","",,"They should understand phishing because users may trust system emails, so communication design, verification cues, and security awareness are essential to prevent impersonation and abuse.","The answer should connect phishing awareness to responsible communication design.","phishing awareness|email trust|user protection","risk thinking|product responsibility","rubric","cyber-security|phishing|situational|medium"
270,16,Cyber Security,79,"Cyber Security - Core Principles",79,"Confidentiality Integrity Availability","9|10|11|15",hard,MCQ,"Which part of the CIA triad is most directly concerned with preventing unauthorized modification of data?",Confidentiality,Integrity,Availability,Connectivity,B,"Integrity is concerned with preventing unauthorized modification of data.","Integrity ensures data remains accurate and trustworthy.","integrity|data tampering|CIA triad","concept precision|accuracy","exact_match","cyber-security|integrity|hard|mcq"
271,16,Cyber Security,82,"Cyber Security - Secure Practices",82,"Password and Safe Usage Basics","9|10|11",hard,Subjective,"Explain why security is not only a technical issue but also a user behavior issue.","","","","","","Security is not only technical because users make decisions about passwords, suspicious links, sharing access, and device usage. Even strong systems can be weakened by unsafe behavior.","The answer should connect human behavior to system security outcomes.","human factors in security|user behavior|security culture","broader reasoning|practical awareness","rubric","cyber-security|security-behavior|hard|subjective"
272,16,Cyber Security,83,"Cyber Security - Data Protection",83,"Encryption and Data Safety Basics","9|10|11",hard,Subjective,"Differentiate between protecting data at rest and protecting data in transit.","","","","","","Protecting data at rest means securing stored data such as files or databases, while protecting data in transit means securing data as it moves across networks between systems.","The answer should distinguish storage protection from transmission protection.","data at rest|data in transit|security contexts","comparison thinking|clarity","rubric","cyber-security|data-protection|hard|subjective"
