question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
64,4,English Communication,22,"Grammar - Sentence Correction",22,"Error Detection and Correction","3|8|13|14",medium,MCQ,"Choose the grammatically correct sentence.",The team are performing well,The team is performing well,The team were performing well,The team have performing well,B,"The correct sentence is 'The team is performing well.'","Collective nouns often take a singular verb when treated as one unit.","collective noun agreement|sentence correction","attention to detail|accuracy","exact_match","english|sentence-correction|medium|mcq"
65,4,English Communication,23,"Vocabulary - Semantic Relations",23,"Synonyms and Antonyms in Context","3|13|14",medium,MCQ,"What is the antonym of 'expand'?",grow,increase,shrink,extend,C,"The antonym of 'expand' is 'shrink.'","Expand means to become larger; shrink means to become smaller.","antonyms|vocabulary contrast","language precision|recall","exact_match","english|vocabulary|medium|mcq"
66,4,English Communication,24,"Reading - Comprehension Skills",24,"Main Idea and Inference Analysis","3|13|14",medium,Subjective,"How is an inference different from a directly stated fact in a passage?","","","","",,"A directly stated fact is explicitly written in the passage, while an inference is a conclusion the reader draws using clues from the text.","A strong answer should contrast explicit information and interpreted meaning.","inference vs fact|reading comprehension","analytical reading|clarity","rubric","english|reading|medium|subjective"
67,4,English Communication,25,"Writing - Formal Communication",25,"Email and Summary Writing","3|8|13|14",medium,Subjective,"Write a short two-line professional email requesting a meeting to discuss a project delay.","","","","",,"Hello [Name], I would like to request a brief meeting to discuss the current project delay and possible next steps. Please let me know a convenient time for you.","The answer should be polite, concise, and professionally structured.","professional email|meeting request|formal tone","communication|professionalism","rubric","english|formal-writing|medium|subjective"
68,4,English Communication,24,"Reading - Comprehension Skills",24,"Main Idea and Inference Analysis","13|14",medium,Situational,"A candidate answers technical questions correctly but writes unclear explanations. Which English communication skill should your app recommend first and why?","","","","",,"The app should recommend structured writing and reading comprehension support, because the candidate likely understands the topic but struggles to organize and express ideas clearly.","A good answer connects unclear explanation with structure, clarity, and expression.","communication gaps|clarity of explanation|structured writing","diagnostic thinking|coaching mindset","rubric","english|situational|medium|communication"
69,4,English Communication,21,"Grammar - Parts of Speech",21,"Word Function Identification","3|8|13",hard,MCQ,"In the sentence 'Running quickly, the athlete crossed the line,' what is the grammatical role of 'quickly'?",Noun,Verb,Adverb,Preposition,C,"'Quickly' functions as an adverb.","An adverb modifies a verb, adjective, or another adverb.","adverb identification|parts of speech","language awareness|accuracy","exact_match","english|grammar|hard|mcq"
70,4,English Communication,22,"Grammar - Sentence Correction",22,"Error Detection and Correction","3|8|13|14",hard,Subjective,"Correct this sentence and explain the error: 'Neither the manager nor the employees was informed properly.'","","","","",,"Corrected sentence: 'Neither the manager nor the employees were informed properly.' The verb agrees with the subject closest to it, which is 'employees,' so 'were' is correct.","The answer should fix subject-verb agreement and explain proximity agreement.","subject verb agreement|neither nor rule|correction explanation","attention to detail|rule application","rubric","english|sentence-correction|hard|subjective"
71,4,English Communication,25,"Writing - Formal Communication",25,"Email and Summary Writing","3|8|13|14",hard,Situational,"You are building a feature that scores user-written answers for professionalism. What signals should be checked before labeling a response as workplace-ready?","","","","",,"The system should check clarity, grammar, polite tone, relevance, structure, conciseness, and whether the response directly addresses the prompt in professional language.","A strong answer should mention multiple writing quality dimensions and their practical value.","professional tone|clarity|grammar|relevance|response quality","evaluation thinking|communication judgment","rubric","english|formal-writing|hard|situational"
72,4,English Communication,23,"Vocabulary - Semantic Relations",23,"Synonyms and Antonyms in Context","3|13|14",hard,Situational,"A learner repeatedly memorizes word lists but fails in real comprehension tasks. How should the app change vocabulary practice to improve transfer?","","","","",,"The app should move from isolated word memorization to context-based exercises, sentence usage, synonym/antonym application, and reading-based reinforcement so learners understand meaning in use.","The response should emphasize contextual learning over rote memory.","contextual vocabulary|meaning in use|transfer of learning","instructional design|practical reasoning","rubric","english|vocabulary|hard|situational"
73,4,English Communication,24,"Reading - Comprehension Skills",24,"Main Idea and Inference Analysis","13|14",easy,Situational,"A user reads quickly but misidentifies the author’s point. What reading strategy should your app suggest first?","","","","",,"The app should suggest slowing down to identify topic sentences, repeated ideas, and concluding lines to better capture the main idea before making inferences.","A good answer should focus on comprehension strategy rather than speed alone.","main idea strategy|reading support|author intent","coaching mindset|clarity","rubric","english|reading|easy|situational"
