question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
97,6,Programming Fundamentals,31,"Programming - Variables and Data Types",31,"Primitive Types and Variable Usage","1|2|4|7",medium,MCQ,"What happens if you assign a decimal value to an integer variable in many languages?",It always stores both parts exactly,It causes truncation or type mismatch depending on the language,It becomes a string automatically,It becomes a boolean,B,"In many languages, assigning a decimal to an integer either truncates the decimal part or causes a type mismatch/error depending on the rules.","This tests understanding of data types and type compatibility.","type conversion|integer vs decimal|assignment behavior","precision|coding awareness","exact_match","programming|variables|medium|mcq"
98,6,Programming Fundamentals,32,"Programming - Control Flow",32,"Conditional and Loop Constructs","1|2|4|8",medium,MCQ,"Which loop is most appropriate when you know in advance how many times an action should repeat?",if loop,for loop,return loop,class loop,B,"A for loop is commonly used when the number of iterations is known beforehand.","For loops are designed for counted repetition.","loops|for loop|iteration","flow thinking|logic building","exact_match","programming|control-flow|medium|mcq"
99,6,Programming Fundamentals,33,"Programming - Functions and Scope",33,"Function Design and Scope Rules","1|2|4|8",medium,Subjective,"Why are functions important for writing maintainable code?","","","","",,"Functions break code into smaller reusable units, improve readability, reduce duplication, and make testing easier.","A strong answer should mention reuse, readability, maintainability, and testing benefits.","functions|maintainability|modularity|reuse","structured thinking|software discipline","rubric","programming|functions|medium|subjective"
100,6,Programming Fundamentals,34,"Programming - Arrays Basics",34,"Array Traversal and Update","1|2|4|7",medium,Subjective,"Explain what array indexing means and why off-by-one mistakes are common.","","","","",,"Array indexing means accessing elements by their position number. Off-by-one mistakes happen because many languages start indexing at 0, so developers may miscalculate the first or last valid position.","The answer should explain indexing and zero-based access clearly.","array indexing|zero-based indexing|common mistakes","attention to detail|debugging awareness","rubric","programming|arrays|medium|subjective"
101,6,Programming Fundamentals,35,"Programming - Pseudocode Logic",35,"Algorithm Drafting with Pseudocode","1|8|13",medium,Situational,"A learner writes code immediately and keeps getting stuck. What should your app encourage before coding and why?","","","","",,"The app should encourage writing pseudocode or a stepwise plan first, because it helps clarify logic, reduce confusion, and expose mistakes before implementation.","The response should connect planning to reduced debugging and better structure.","pseudocode planning|pre-coding strategy|logic clarity","coaching mindset|structured reasoning","rubric","programming|pseudocode|situational|medium"
102,6,Programming Fundamentals,32,"Programming - Control Flow",32,"Conditional and Loop Constructs","1|2|4|8",hard,MCQ,"A loop continues while x < 5 and x starts at 1, increasing by 1 each time. How many times does it execute?",3,4,5,6,B,"The loop executes 4 times.","Values of x are 1, 2, 3, and 4. When x becomes 5, the condition fails.","loop trace|condition evaluation|iteration count","mental tracing|precision","exact_match","programming|loops|hard|mcq"
103,6,Programming Fundamentals,31,"Programming - Variables and Data Types",31,"Primitive Types and Variable Usage","1|2|4|7",hard,Subjective,"Differentiate between a variable’s name, value, and data type with a simple example.","","","","","","A variable name is the identifier used in code, the value is the actual stored data, and the data type defines what kind of data it can hold. For example, in int age = 21, 'age' is the name, 21 is the value, and int is the data type.","A strong answer should distinguish identifier, stored content, and type constraint.","variable name|value|data type|example","clarity|conceptual precision","rubric","programming|variables|hard|subjective"
104,6,Programming Fundamentals,34,"Programming - Arrays Basics",34,"Array Traversal and Update","1|2|4|7",hard,Situational,"Your app detects that many users understand single variables but struggle when values are grouped. How would you introduce arrays in a practical way?","","","","",,"I would introduce arrays as a way to store many similar values under one name, such as quiz scores or daily practice counts, and then show how indexing allows access to each item.","The answer should connect arrays to real grouped data and indexed access.","arrays in practice|grouped data|index-based access","instructional design|communication","rubric","programming|arrays|hard|situational"
105,6,Programming Fundamentals,33,"Programming - Functions and Scope",33,"Function Design and Scope Rules","1|2|4|8",hard,Situational,"A junior developer copies the same logic into five places in a codebase. What programming principle is being violated, and how would a function help?","","","","",,"The DRY principle is being violated. A function would centralize the repeated logic, reduce duplication, simplify updates, and lower the chance of inconsistent behavior.","The answer should mention duplication and modular reuse.","DRY principle|code duplication|function reuse","software design thinking|maintainability","rubric","programming|functions|hard|situational"
106,7,Object-Oriented Programming,36,"OOP - Classes and Objects",36,"Object Modeling Basics","1|2|4|12",easy,MCQ,"What does a class represent in object-oriented programming?",A single executed line,A blueprint for creating objects,A database query,A network packet,B,"A class is a blueprint for creating objects.","Classes define properties and behaviors that objects can have.","class definition|oop basics|blueprint","abstraction|modeling","exact_match","oop|classes|easy|mcq"
