question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
32,2,Physics,15,"Thermodynamics - Heat Transfer",15,"Conduction Convection Radiation","9|10",medium,Situational,"Your app includes a simulation showing why metal spoons become hot in soup. Which heat transfer concept should be highlighted and why?","","","","",,"Conduction should be highlighted because heat travels through the solid metal spoon from the hot end in contact with the soup to the cooler handle.","The answer should identify conduction as heat transfer through direct contact in solids.","conduction|heat transfer in solids|real-world example","application mindset|explanation clarity","rubric","physics|thermodynamics|medium|situational"
33,2,Physics,11,"Mechanics - Work Energy Power",11,"Energy Conservation Problems","1|10|15",medium,MCQ,"What is the kinetic energy of a 2 kg object moving at 3 m/s?",3 J,6 J,9 J,12 J,C,"The kinetic energy is 9 J.","Use KE = 1/2 mv^2 = 1/2 × 2 × 3^2 = 9.","kinetic energy|energy formula|numerical application","accuracy|formula application","exact_match","physics|work-energy|medium|mcq"
34,2,Physics,12,"Electricity - Electrostatics",12,"Charge Interaction and Coulomb Law","10|11|15",medium,MCQ,"Two like charges are brought near each other. What happens?",They attract,They repel,They neutralize,Nothing happens,B,"Like charges repel each other.","According to electrostatic principles, like charges repel and unlike charges attract.","electrostatics|charge interaction|repulsion","concept recall|scientific reasoning","exact_match","physics|electrostatics|medium|mcq"
35,2,Physics,9,"Mechanics - Kinematics",9,"Motion in One Dimension","1|10|15",hard,MCQ,"An object starts from rest and accelerates uniformly at 4 m/s^2 for 3 s. How far does it travel?",6 m,12 m,18 m,24 m,C,"The object travels 18 m.","Use s = ut + 1/2 at^2 with u = 0, a = 4, t = 3. So s = 0 + 1/2 × 4 × 9 = 18.","uniform acceleration|displacement formula|kinematics","quantitative reasoning|stepwise solving","exact_match","physics|kinematics|hard|mcq"
36,2,Physics,10,"Mechanics - Newtonian Motion",10,"Force and Acceleration Analysis","1|10|15",hard,Subjective,"A 10 kg cart experiences a net force of 30 N. Explain how to determine its acceleration and what the value represents physically.","","","","",,"Using Newton’s second law, acceleration = force divided by mass = 30/10 = 3 m/s^2. This means the cart’s velocity increases by 3 m/s every second in the direction of the net force.","A strong answer should mention F = ma, rearrangement to a = F/m, and physical interpretation.","newtons second law|acceleration interpretation|force-mass relation","structured reasoning|conceptual clarity","rubric","physics|newton-laws|hard|subjective"
37,2,Physics,14,"Optics - Reflection and Refraction",14,"Image Formation and Refraction Basics","3|10|15",hard,Subjective,"Differentiate between reflection and refraction with one real-life example of each.","","","","",,"Reflection is the bouncing back of light from a surface, such as seeing yourself in a mirror. Refraction is the bending of light as it passes between media, such as a straw appearing bent in water.","The answer should clearly distinguish the two phenomena and provide correct examples.","reflection|refraction|comparison|examples","comparison skills|clarity","rubric","physics|optics|hard|subjective"
38,2,Physics,13,"Electricity - Current Flow",13,"Ohms Law and Circuit Basics","2|10|15",hard,Situational,"A learner uses your app to troubleshoot a simple circuit where a bulb does not glow. Which physics concepts should the app guide them through first?","","","","",,"The app should guide the learner through checking voltage source, continuity, current path, resistance, and whether the circuit is complete. Ohm’s law and basic circuit flow are key starting points.","The response should connect practical troubleshooting with current flow, resistance, and complete circuit logic.","circuit troubleshooting|current flow|resistance|voltage","debugging mindset|applied reasoning","rubric","physics|electricity|hard|situational"
39,2,Physics,11,"Mechanics - Work Energy Power",11,"Energy Conservation Problems","1|10",hard,Situational,"You are designing an educational animation showing a roller coaster descending a track. How can the idea of energy conservation make the explanation more intuitive for users?","","","","",,"The animation can show potential energy decreasing as height decreases while kinetic energy increases as speed rises, demonstrating total mechanical energy transfer in an intuitive way.","A good answer should mention potential energy, kinetic energy, and transfer/conservation ideas.","energy conservation|potential to kinetic conversion|visual explanation","communication|concept modeling","rubric","physics|energy|hard|situational"
40,2,Physics,12,"Electricity - Electrostatics",12,"Charge Interaction and Coulomb Law","10|11",easy,Subjective,"What is an electric charge in simple terms?","","","","",,"Electric charge is a property of matter that causes electrical attraction or repulsion between objects.","The answer should define charge in simple conceptual language.","electric charge|basic definition","clarity|fundamental understanding","rubric","physics|electrostatics|easy|subjective"
41,3,Chemistry,16,"Physical Chemistry - Atomic Structure",16,"Subatomic Structure and Orbitals","6|11|16",easy,MCQ,"Which subatomic particle carries a negative charge?",Proton,Neutron,Electron,Nucleus,C,"The electron carries a negative charge.","In atomic structure, electrons are negatively charged, protons are positive, and neutrons are neutral.","atomic structure|subatomic particles","accuracy|concept recall","exact_match","chemistry|atomic-structure|easy|mcq"
42,3,Chemistry,17,"Chemical Bonding - Bond Types",17,"Ionic and Covalent Bonding","6|11|16",easy,MCQ,"Which type of bond involves transfer of electrons?",Covalent bond,Ionic bond,Metallic bond,Hydrogen bond,B,"An ionic bond involves transfer of electrons.","Ionic bonding generally occurs when electrons are transferred from one atom to another.","ionic bonding|electron transfer","classification|concept recall","exact_match","chemistry|bonding|easy|mcq"
43,3,Chemistry,18,"Organic Chemistry - Hydrocarbons",18,"Hydrocarbon Classification and Reactions","6|16",easy,MCQ,"Methane belongs to which class of hydrocarbons?",Alkane,Alkene,Alkyne,Aromatic,A,"Methane is an alkane.","Methane is a saturated hydrocarbon with single bonds only.","hydrocarbons|alkanes|organic basics","recall|classification","exact_match","chemistry|organic|easy|mcq"
44,3,Chemistry,19,"Inorganic Chemistry - Periodic Trends",19,"Trend-Based Element Comparison","6|11",easy,MCQ,"Which periodic trend generally increases across a period from left to right?",Atomic radius only,Electronegativity only,Metallic character only,Atomic size only,B,"Electronegativity generally increases across a period.","Across a period, effective nuclear charge increases, raising electronegativity in general.","periodic trends|electronegativity","trend recognition|accuracy","exact_match","chemistry|periodic-table|easy|mcq"
45,3,Chemistry,20,"Stoichiometry - Mole Concept",20,"Mole Mass and Conversion Problems","5|6|11",easy,MCQ,"What is the molar mass of water (H2O)?",16 g/mol,18 g/mol,20 g/mol,22 g/mol,B,"The molar mass of water is 18 g/mol.","H2O has 2 hydrogen atoms and 1 oxygen atom: 2(1) + 16 = 18.","molar mass|water|mole concept","calculation accuracy|recall","exact_match","chemistry|stoichiometry|easy|mcq"
46,3,Chemistry,16,"Physical Chemistry - Atomic Structure",16,"Subatomic Structure and Orbitals","6|11|16",easy,Subjective,"What is the difference between a proton and a neutron?","","","","",,"A proton carries a positive charge, while a neutron has no charge. Both are found in the nucleus.","The answer should contrast charge and nucleus location.","proton vs neutron|atomic nucleus","clarity|comparison","rubric","chemistry|atomic-structure|easy|subjective"
